#chr	start	end	name	WT_DNAse_ZT02	WT_DNAse_ZT06	WT_DNAse_ZT10	WT_DNAse_ZT14	WT_DNAse_ZT18	WT_DNAse_ZT22	WT_DNAse_ZT26	WT_DNAse_ZTALL	WT_H3K27ac_ZT02	WT_H3K27ac_ZT06	WT_H3K27ac_ZT10	WT_H3K27ac_ZT14	WT_H3K27ac_ZT18	WT_H3K27ac_ZT22	WT_H3K27ac_ZT26	WT_H3K4me3_ZT02	WT_H3K4me3_ZT06	WT_H3K4me3_ZT10	WT_H3K4me3_ZT14	WT_H3K4me3_ZT18	WT_H3K4me3_ZT22	WT_H3K4me3_ZT26	WT_Pol2_ZT02	WT_Pol2_ZT06	WT_Pol2_ZT10	WT_Pol2_ZT14	WT_Pol2_ZT18	WT_Pol2_ZT22	WT_Pol2_ZT26
chr7	52358018	52358117		1.18	0.72	0.98	1.51	1.4	2.04	1.55	1.09	456.46	509.98	510.31	491.52	437.67	588.24	438.83	703.24	782.11	758.41	225.0	376.79	576.64	619.44	90.99	122.18	99.41	98.61	116.8	71.92	75.95
chr7	52358118	52358217		2.05	1.56	3.38	2.82	2.66	2.4	1.92	2.34	300.9	558.23	481.49	673.39	418.36	557.19	607.0	567.68	715.52	1032.13	558.82	636.06	635.19	741.82	83.54	79.5	88.78	90.45	45.19	105.37	83.96
chr7	52358218	52358317		1.47	2.6	4.34	3.22	4.52	6.78	4.61	3.68	487.01	664.08	742.8	813.63	810.71	620.47	890.18	2096.55	1708.06	1755.74	954.62	840.63	1129.78	1411.7	170.04	83.12	194.54	113.8	67.37	104.05	132.6
chr7	52358318	52358417		3.61	4.72	8.68	8.27	11.57	10.74	6.88	7.58	869.76	724.4	1026.77	1127.99	1020.48	1030.38	1091.34	2205.03	2602.92	2469.7	2179.33	1642.22	1606.77	2384.64	192.69	119.53	259.91	177.62	196.2	189.92	171.37
chr7	52358418	52358517		4.11	3.0	9.53	9.29	10.4	11.12	5.08	7.03	685.64	541.03	916.21	1138.0	919.67	872.96	933.73	1963.54	2222.42	2681.21	2016.98	1317.09	1757.61	2987.75	221.21	139.75	235.28	196.45	327.91	131.13	279.17
chr7	52358518	52358617		5.18	6.52	14.06	10.99	9.0	16.12	7.37	9.44	672.0	602.7	444.34	546.22	398.87	454.94	434.16	1010.07	974.6	1355.48	820.03	911.7	958.66	1753.76	364.35	155.73	265.75	192.68	193.53	109.54	250.83
chr7	52358618	52358717		1.78	4.76	5.3	4.03	5.24	4.62	4.08	4.63	889.04	897.94	756.01	814.61	633.16	910.72	868.74	1775.42	1509.21	2055.92	1057.2	793.94	1948.35	2162.4	335.27	190.63	367.95	195.06	190.11	254.5	305.44
chr7	52358718	52358817		1.26	3.56	2.93	2.37	2.94	3.0	2.19	2.86	1132.75	2046.14	1513.98	1600.59	1269.05	1604.6	1536.1	3587.87	3894.91	4229.51	2382.06	1470.02	2840.96	4005.65	302.73	236.73	515.07	145.22	195.59	242.88	430.91
chr7	52358818	52358917		1.85	3.84	6.02	3.79	4.55	8.36	3.3	4.27	1744.64	2567.89	2207.79	2100.73	1694.23	2293.8	2126.16	4933.8	5238.54	5501.29	3152.46	2281.14	4333.26	4774.73	349.13	235.95	332.67	163.61	224.99	226.7	376.56
chr7	52358918	52359017		2.41	3.0	5.96	4.91	6.76	6.48	2.99	4.52	1810.1	2722.32	3063.0	2724.93	2223.42	2897.75	2538.34	5011.7	5307.34	6123.96	3973.36	2858.45	4892.25	5212.05	1969.91	991.28	2025.69	967.22	1534.38	996.72	1805.85
chr7	52359018	52359117		3.51	6.72	10.11	7.63	11.22	13.64	7.21	8.41	1292.62	1170.4	1978.88	1913.79	1612.82	1864.7	1515.18	3386.34	3551.39	3209.52	2573.31	2148.2	3358.73	3769.01	3148.1	1567.05	3065.97	2167.25	2779.44	2170.64	2577.27
chr7	52359118	52359217		16.12	23.64	30.23	25.49	35.92	39.5	25.53	27.68	554.82	426.74	578.76	578.02	614.62	621.42	506.51	504.11	823.09	543.18	543.02	520.49	666.75	852.6	2127.72	1351.64	2153.92	1907.98	2321.75	1595.3	1774.86
chr7	52359218	52359317		16.94	27.17	34.49	30.42	46.67	49.54	31.32	33.15	90.02	196.63	113.98	114.61	83.43	129.74	110.44	248.91	139.19	67.45	196.3	148.83	120.1	207.64	962.61	520.05	780.33	868.04	1119.01	750.11	1004.99
chr7	52359318	52359417		19.84	26.7	38.88	35.84	49.88	54.76	34.71	36.09	182.54	163.54	208.94	270.83	188.2	220.54	190.66	68.78	60.83	19.84	112.18	94.3	143.8	89.32	438.13	222.52	223.38	387.01	625.07	338.81	478.88
chr7	52359418	52359517		11.76	12.4	27.45	23.42	35.88	34.68	22.75	23.21	296.59	233.05	307.49	513.15	442.79	383.05	382.33	186.21	40.81	75.78	70.9	42.64	115.55	63.22	311.19	232.17	278.11	286.09	365.62	255.17	231.16
chr7	52359518	52359617		1.66	2.64	4.73	3.1	4.53	5.23	3.29	3.52	479.78	478.01	520.88	634.08	680.38	533.71	588.51	113.55	90.61	48.0	2.3	189.01	72.75	64.38	56.92	66.89	34.09	80.73	88.87	85.11	101.59
chr7	52359618	52359717		1.84	1.8	1.62	2.9	2.8	3.78	2.89	2.2	692.06	579.34	775.72	767.68	746.79	651.72	652.41	72.25	136.25	0	132.65	136.12	148.84	88.16	78.03	85.89	44.74	47.03	45.55	36.55	28.72
chr7	52359718	52359817		2.15	0.76	1.75	1.25	2.03	1.38	0.99	1.23	724.82	631.09	669.83	630.92	604.81	583.95	556.24	131.49	60.21	19.2	61.99	25.01	196.83	122.96	100.43	80.22	69.13	54.04	71.91	33.99	129.81
chr7	52359818	52359917		1.54	0.56	1.35	0.94	0.98	2.28	0.98	0.89	397.23	373.38	396.85	378.7	410.66	394.41	387.14	168.61	0	76.47	57.87	24.6	108.63	48.72	44.93	62.77	33.01	72.81	13.84	65.16	68.82
chr7	52359918	52360017		1.47	0.52	1.08	0.82	1.12	0.54	1.05	0.82	102.81	192.52	234.52	280.17	225.69	204.56	226.44	178.6	57.75	48.0	10.58	12.3	57.72	63.8	53.03	53.91	56.47	41.38	23.72	70.44	81.89
chr7	52360018	52360117		0.41	0.12	0.87	0.69	0.07	0.78	0.43	0.41	41.72	143.47	86.68	61.9	92.0	70.67	99.83	11.05	57.75	0	25.3	27.06	3.92	4.75	20.33	22.3	15.55	48.7	13.54	33.01	31.07
chr7	52360118	52360217		0.12	0.12	0.02	0.09	0.02	0.12	0.14	0.07	52.75	81.59	54.68	48.55	36.04	51.68	33.21	0	0	16.64	0	0	32.48	41.21	12.44	9.19	8.16	16.16	16.0	21.23	0
chr7	52360218	52360317		0.06	0.09	0.05	0.06	0	0	0.14	0.06	80.85	76.45	33.27	28.09	38.52	14.61	30.6	8.5	0	30.72	0	0	8.96	11.02	13.3	8.69	14.69	5.82	29.29	3.27	11.29
chr7	52360318	52360417		0.53	0.28	0.14	0.83	1.18	0.06	1.0	0.58	63.59	24.01	44.51	33.45	37.99	36.49	69.28	54.4	0	110.11	11.96	0	0	0	30.52	16.83	9.67	18.82	10.79	31.54	21.67
chr7	52360418	52360517		1.06	0.36	0.63	0.57	0.97	0	0.73	0.58	99.77	61.19	125.69	170.64	120.87	140.56	168.26	0	0	191.61	23.92	14.76	35.84	56.84	60.96	46.42	28.99	57.68	20.17	34.31	84.63
chr7	52360518	52360617		2.0	0.72	0.77	1.2	1.33	0.3	0.69	0.85	83.63	85.18	152.96	101.92	126.73	148.9	166.23	0	100.52	33.28	91.41	18.04	90.27	58.58	23.95	54.97	16.03	89.73	56.12	2.72	81.1
chr7	52360618	52360717		0.9	0.76	0.98	0.89	0.91	0.72	0.86	0.83	251.38	165.48	135.2	90.4	63.83	98.64	84.68	0	14.63	25.6	17.94	63.55	55.75	109.04	50.97	46.99	21.58	87.2	31.9	28.64	83.59
chr7	52360718	52360817		0.95	0.56	0.75	0.63	0.56	0.06	1.69	0.76	92.74	100.73	83.7	103.99	112.77	49.63	60.97	0	0	21.76	36.34	12.3	62.85	48.72	40.88	60.32	76.76	74.31	21.34	47.75	24.24
chr7	52360818	52360917		1.02	0.44	0.29	0.31	0.35	0.18	0.12	0.29	31.72	89.85	44.79	74.63	67.63	69.69	44.42	2.55	0	0	0	31.57	16.8	44.66	28.14	70.71	48.76	47.39	25.87	23.8	25.87
chr7	52360918	52361017		0.36	0.6	1.1	0.7	0.84	0.78	0.8	0.76	62.61	26.64	72.89	99.72	122.78	73.52	88.3	60.35	0	42.29	0	56.58	30.8	69.6	35.26	76.76	29.01	58.44	56.63	11.46	37.13
chr7	52361018	52361117		0.95	0.44	0.54	0.19	0.7	0.96	0.62	0.45	142.46	74.84	102.84	68.56	148.26	116.91	68.59	0	0	75.71	26.22	59.45	0	40.6	30.4	64.76	55.99	62.67	55.5	39.19	69.49
chr7	52361118	52361217		0.95	0.68	0.45	0.31	0.56	0.36	0.74	0.51	94.93	143.82	68.39	62.17	69.95	70.17	61.93	0	0	24.32	40.94	32.39	0	28.42	17.42	32.31	68.93	52.85	30.6	17.3	46.54
chr7	52361218	52361317		0.71	0.28	0.29	0.31	0.42	0.12	0.68	0.35	102.29	14.26	39.64	50.62	45.41	45.0	110.98	0	0	0	4.6	0	0	31.32	15.43	39.41	9.16	26.52	26.87	11.41	11.57
chr7	52361318	52361417		0.89	0.96	0.2	0.51	0.63	0.54	0.49	0.55	140.46	16.16	36.62	47.95	34.65	107.03	52.74	0	0	42.24	36.34	12.6	0	28.42	36.89	30.95	0	28.84	32.5	76.01	11.32
chr7	52361418	52361517		0.41	0.6	0.54	0.25	0.28	0.06	0.94	0.51	18.15	17.57	55.19	10.08	43.66	81.36	19.5	0	0	5.12	0	20.18	0	0	10.95	13.27	8.79	22.98	65.24	45.57	37.94
chr7	52361518	52361617		0.3	0.48	0.05	0.06	0.14	0.06	0.44	0.23	33.9	32.14	36.5	0	30.2	25.08	10.86	0	0	0	0	32.19	20.16	0	2.24	15.2	6.7	19.56	38.4	12.26	38.57
chr7	52361618	52361717		0.3	0.4	0.44	0.18	0.14	0.12	0.19	0.27	80.0	75.33	24.37	5.88	12.96	30.67	27.25	0	67.42	0	0	9.94	21.28	0	22.02	18.74	11.42	33.75	19.77	11.29	6.81
chr7	52361718	52361817		1.07	0.24	1.06	0.18	0.84	1.2	0.82	0.57	71.18	54.4	42.35	58.84	55.42	38.45	67.9	0	90.39	0	0	22.55	0	0	39.58	40.74	32.15	76.84	16.79	59.82	17.23
chr7	52361818	52361917		0.65	0.4	0.82	0.06	0.42	0.54	0.68	0.46	9.45	47.54	76.22	87.39	78.59	17.9	49.86	0	44.66	0	47.53	39.36	11.2	50.46	22.22	52.15	49.81	61.54	43.31	50.8	24.72
chr7	52361918	52362017		0.59	0.48	0.3	0.5	0.56	0.24	0.37	0.4	36.83	117.77	57.95	59.69	58.59	41.34	44.93	22.95	26.18	88.31	24.84	66.42	30.24	121.22	25.29	47.16	44.0	7.44	57.82	84.66	35.95
chr7	52362018	52362117		0.3	0.16	0.44	0.63	0.63	0.06	0.12	0.34	44.67	35.83	41.4	61.92	37.06	27.02	25.63	158.46	33.88	52.48	11.96	0	0	0	28.62	39.09	16.76	18.55	45.32	16.72	58.73
chr7	52362118	52362217		0.06	0.08	0.54	0.32	0.35	0.84	0.13	0.25	15.99	17.21	37.71	32.62	18.16	13.8	30.18	78.79	23.1	1.92	23.92	18.86	0	33.06	19.84	10.43	21.66	31.82	48.59	8.91	9.05
chr7	52362218	52362317		0.65	0.32	0.63	0.44	0.42	0.96	0.24	0.4	49.8	70.66	41.04	62.17	35.18	70.93	91.1	53.55	199.34	0	0	13.12	0	9.86	68.64	16.6	43.41	43.13	47.57	37.17	44.85
chr7	52362318	52362417		0.72	0.64	0.1	0.57	0.63	0.12	0.12	0.38	57.8	21.54	77.5	50.58	29.28	51.82	60.42	1.7	30.13	3.2	36.34	32.39	37.52	17.98	84.57	56.94	36.96	37.1	39.78	55.7	79.95
chr7	52362418	52362517		0.48	0.44	0.1	0.18	0.35	0	0.38	0.27	24.33	18.69	35.0	12.18	15.44	18.1	29.65	104.31	57.75	44.16	0	29.93	3.92	24.94	93.76	53.39	27.47	41.95	48.24	25.22	19.97
chr7	52362518	52362617		0.53	0.52	0.43	0.38	0.42	0	0	0.34	19.18	17.49	11.55	22.02	28.85	21.43	45.08	35.7	0	0	0	13.94	0	0	18.09	56.65	28.29	50.97	44.0	7.47	17.01
chr7	52362618	52362717		0.18	0.12	0.05	0.44	0.49	0.48	0.43	0.25	95.53	52.37	47.55	26.86	88.83	65.76	49.91	63.75	0	53.76	44.4	78.31	29.68	0	50.2	53.76	46.39	57.05	32.14	40.68	50.04
chr7	52362718	52362817		0.59	0.36	0.6	0.31	0.63	0.3	0.75	0.48	97.57	21.43	66.98	48.45	66.59	92.08	79.02	109.24	0	41.6	87.79	6.15	13.66	0	27.19	55.15	53.59	18.06	36.26	34.74	75.44
chr7	52362818	52362917		0.65	0.52	0.29	0.19	1.7	0	0.74	0.6	13.22	43.77	53.94	59.3	23.2	82.47	49.29	0	18.48	0	12.88	16.59	12.16	44.66	42.85	46.05	45.91	36.27	48.66	23.25	47.58
chr7	52362918	52363017		0	0.4	0.69	0	0.56	0.03	0.55	0.42	3.6	67.97	25.48	30.75	12.88	37.83	25.26	0	38.5	0	0	9.52	0	77.14	28.44	18.45	0	13.14	42.36	9.87	2.18
chr7	52363018	52363117		0.06	0.12	0.24	0.12	0.07	0.06	0.06	0.12	0	19.54	15.37	5.6	6.0	27.91	5.32	0	0	0	0	1.4	0	7.54	3.85	15.85	8.85	12.18	4.98	16.25	0
chr7	52363118	52363217		0.12	0.16	0.05	0.06	0.14	0	0.06	0.09	5.76	35.55	28.4	27.36	7.44	37.04	27.18	0	0	0	11.96	18.86	34.72	0	6.74	20.62	10.5	21.54	22.26	27.18	6.61
chr7	52363218	52363317		0.12	0.16	0.1	0	0.07	0.06	0.12	0.09	17.86	34.19	53.02	32.98	8.8	33.75	14.81	0	85.07	0	89.57	13.12	6.72	0	14.26	28.75	17.65	14.76	32.49	8.57	18.46
chr7	52363318	52363417		0.17	0	0.05	0.06	0.06	0	0.4	0.09	74.9	10.28	30.78	8.54	21.84	32.9	26.43	0	37.74	0	19.32	0	0	0	11.75	21.41	0	16.92	8.77	0	13.09
chr7	52363418	52363517		0.5	0.2	0.1	0.13	0.07	0.28	0.4	0.15	41.61	6.7	25.03	38.75	19.26	33.2	43.92	0	48.51	0	23.92	0	0	0	24.4	19.56	10.52	27.16	12.45	21.46	40.84
chr7	52363518	52363617		0.77	0.24	0.43	0.37	0.35	0.12	0.3	0.31	14.66	35.23	36.76	40.0	13.32	28.77	62.77	0	0	0	0	2.05	0	43.5	14.84	44.83	34.37	42.72	34.79	40.78	47.43
chr7	52363618	52363717		0.83	0.32	0.25	0.32	0.63	0.24	0.18	0.3	36.46	15.16	35.26	69.58	54.73	36.96	40.45	0	0	0	0	75.85	2.8	43.5	12.12	37.86	30.4	31.01	25.1	41.27	7.39
chr7	52363718	52363817		0	0.32	0.3	0.06	0.07	0.06	0.32	0.21	43.73	16.16	29.31	20.31	40.96	67.12	72.16	0	0	0	0	21.32	38.64	0	23.05	63.05	2.03	30.94	13.21	31.24	35.38
chr7	52363818	52363917		0.18	0.17	0.05	0.06	0.14	0.07	0.24	0.12	6.78	53.23	30.08	26.96	26.96	51.37	40.78	0	0	0	13.47	28.7	0	0	13.18	31.72	1.95	31.47	42.58	21.3	36.82
chr7	52363918	52364017		0.3	0.08	0	0.13	0.02	0.42	0.12	0.06	5.4	16.64	38.06	15.36	32.51	21.72	13.27	0	11.25	0	68.24	13.53	0	0	4.45	44.71	23.32	32.51	27.55	41.52	14.05
chr7	52364018	52364117		0.12	0.2	0.19	0.19	0.35	0	0.31	0.22	6.6	14.78	30.61	12.57	34.23	21.9	8.19	0	0	48.0	26.68	52.48	42.0	0	8.71	23.21	9.75	25.82	17.82	17.38	12.49
chr7	52364118	52364217		0.42	0.24	0.15	0.25	0.56	0.54	0.56	0.3	15.22	15.12	39.51	33.23	39.67	72.44	57.36	0	0	29.44	24.38	54.12	42.0	108.46	50.17	56.17	51.92	29.5	49.53	23.19	31.48
chr7	52364218	52364317		0.71	0.56	0.44	0.06	0.42	0.36	0.31	0.35	26.12	40.85	37.14	12.74	78.75	64.0	37.63	0	0	17.92	69.04	8.2	50.76	64.38	30.27	69.97	45.0	36.59	66.68	77.12	33.86
chr7	52364318	52364417		0.42	0.28	0.25	0.24	0.21	0.3	0.56	0.28	106.99	26.65	60.33	21.14	61.56	83.95	43.24	12.75	0	0	51.35	27.47	32.68	9.28	12.85	29.11	16.96	34.66	30.43	49.77	18.51
chr7	52364418	52364517		0.41	0.32	0.3	0.13	0.14	0.3	0.38	0.25	75.57	49.73	26.25	50.62	82.43	56.4	46.76	50.15	0	0	0	4.51	0	33.64	23.12	40.09	17.86	19.44	15.93	63.18	3.6
chr7	52364518	52364617		0.18	0.16	0.25	0.25	0.07	0.12	0.18	0.17	43.67	80.65	24.68	27.67	55.69	39.57	43.85	0	0	0	0	0	0	0	14.93	48.86	6.48	23.88	24.79	27.34	36.83
chr7	52364618	52364717		0.24	0.36	0.48	0.19	0.28	0	0.06	0.27	40.42	68.48	49.58	33.82	56.66	38.09	34.41	0	0	0	0	0.41	38.08	0	9.12	66.51	70.1	25.68	24.18	35.47	48.57
chr7	52364718	52364817		0.12	0.16	0.35	0.31	0.35	0	0.38	0.27	50.87	27.2	59.56	42.71	47.88	42.87	105.64	0	0	0	0	55.76	30.24	4.64	39.26	55.38	29.8	20.58	25.98	15.95	64.17
chr7	52364818	52364917		0.35	0.2	0.15	0.18	0.21	0.12	0.49	0.22	35.42	11.02	43.93	51.44	20.08	25.69	35.33	0	0	0	12.42	7.79	14.56	38.28	18.8	36.73	12.93	21.42	33.07	13.9	24.92
chr7	52364918	52365017		0.18	0.32	0.05	0.06	0.21	0	0.44	0.2	0	16.45	48.11	22.26	26.8	22.19	28.3	22.1	0	0	53.06	4.1	0	0	5.2	26.9	23.36	16.74	20.26	7.92	29.52
chr7	52365018	52365117		0	0.28	0.05	0.06	0.14	0	0.12	0.14	0.84	3.33	46.35	19.63	35.54	27.73	27.39	40.8	0	0	6.44	60.27	6.27	26.68	13.26	46.08	33.06	21.9	20.24	10.11	30.32
chr7	52365118	52365217		0.06	0.24	0.05	0.06	0.24	0	0.02	0.12	37.61	1.48	11.37	17.24	17.92	13.6	3.57	27.2	0	42.24	0	0	7.79	16.24	12.39	38.2	6.62	19.8	6.22	3.42	17.81
chr7	52365218	52365317		0.06	0.08	0.05	0.13	0.14	0	0.06	0.08	23.46	1.17	13.66	19.29	4.96	1.34	0	35.7	0	5.12	0	0	0	0	1.4	6.63	0	1.26	7.07	2.52	5.46
chr7	52365318	52365417		0.06	0.2	0	0	0	0	0	0.05	2.68	30.22	14.7	7.09	12.06	10.71	6.12	0	0	0	0	0	0	0	6.89	18.93	4.26	4.24	14.74	3.15	2.88
chr7	52365418	52365517		0.06	0.01	0.04	0.1	0.05	0	0	0.04	33.33	23.36	32.83	15.18	20.58	19.19	11.05	0	20.79	0	0	0	0	0	30.9	42.87	18.64	12.28	32.52	17.73	8.42
chr7	52365518	52365617		0.24	0.17	0.16	0.38	0.15	0	0.14	0.17	41.81	10.52	16.78	42.87	42.1	20.98	26.83	0	36.19	0	0	0	0	0	20.4	36.69	31.8	31.64	22.65	41.77	0.24
chr7	52365618	52365717		0.18	0.2	0.1	0.18	0.14	0.12	0.44	0.19	15.11	12.04	25.75	21.78	23.19	18.89	25.41	0	0	35.84	0	0	7.28	10.44	27.95	37.03	31.52	23.58	29.16	27.23	3.32
chr7	52365718	52365817		0.35	0	0.15	0.38	0.35	0.12	0.06	0.15	17.28	6.66	4.68	17.85	16.16	40.73	23.5	0	0	11.52	0	0.41	76.65	55.68	33.43	10.09	10.75	2.64	42.05	7.78	10.1
chr7	52365818	52365917		0.06	0.36	0.29	0.12	0.28	0	0.31	0.26	11.68	5.78	17.23	39.85	32.31	51.4	29.12	0	0	0	0	38.13	0	19.72	20.95	22.17	37.48	4.86	30.39	17.3	31.41
chr7	52365918	52366017		0.54	0.32	0.2	0.06	0.77	0.42	0.37	0.3	73.32	47.98	50.09	87.64	102.55	45.8	46.02	62.05	0	0	0	79.95	0	42.92	56.59	57.73	60.81	48.89	63.17	68.36	109.26
chr7	52366018	52366117		0.65	0.84	0.15	0	0.56	0.18	0.44	0.39	38.34	84.07	57.7	61.26	81.47	39.95	36.59	0.85	0	12.16	9.66	22.96	22.53	0	22.89	45.33	31.19	32.33	24.21	73.45	95.0
chr7	52366118	52366217		0.12	0.44	0.44	0.25	0.21	0	0.56	0.36	23.03	102.41	20.92	34.17	35.12	50.05	32.04	0	0	35.2	74.68	24.6	103.09	29.58	42.72	18.85	72.02	27.97	24.86	51.19	44.41
chr7	52366218	52366317		0.42	0.48	0.48	0.3	0.35	1.08	0.56	0.42	117.65	67.99	22.02	29.82	37.88	35.47	17.14	0	0	0	24.38	35.67	0	13.34	47.55	22.99	26.58	35.58	13.61	56.39	28.29
chr7	52366318	52366417		0.36	0.44	0.44	0.24	0.14	0.18	0.19	0.3	58.03	45.32	29.47	31.65	22.88	38.35	34.89	63.75	0	0	44.9	70.93	15.12	0	29.74	17.05	52.45	19.98	35.94	50.49	46.0
chr7	52366418	52366517		0.24	0.44	0.35	0.65	0.42	0.48	0.12	0.36	64.46	1.6	6.75	38.58	26.16	14.92	43.37	63.75	0	0	27.23	78.31	26.32	0	24.13	42.31	39.63	11.82	74.69	49.14	60.79
chr7	52366518	52366617		0.3	0.2	0.19	0.37	0.28	0	0.3	0.24	60.94	31.87	19.01	16.61	27.52	17.16	25.14	0	0	0	0	9.02	1.68	0	45.11	40.82	15.13	17.58	27.13	14.99	37.08
chr7	52366618	52366717		0.18	0.36	0.2	0.68	0.14	0	0.31	0.31	3.0	23.36	12.51	16.66	18.56	29.28	51.38	0	0	0	0	24.19	39.76	0	40.43	53.98	38.81	42.59	12.47	16.29	45.1
chr7	52366718	52366817		0.48	0.12	0.05	0.31	0.28	0.36	0.36	0.19	60.18	10.12	30.61	30.33	47.56	46.52	43.07	0	0	34.56	13.8	27.06	37.68	15.08	35.56	28.7	7.34	68.59	17.73	64.84	48.21
chr7	52366818	52366917		0.53	0.44	0.44	0.5	0.84	0.54	0.31	0.45	52.06	8.64	48.46	36.12	67.47	48.98	52.21	0	0	12.8	58.85	36.9	61.83	71.34	41.88	38.03	61.16	58.13	20.57	63.56	48.4
chr7	52366918	52367017		0.72	0.44	0.43	0.37	0.56	1.02	1.01	0.5	90.6	24.85	60.43	33.69	67.23	28.77	52.77	0	0	0	0	63.96	25.2	0	41.99	72.17	33.91	55.17	15.4	43.74	33.85
chr7	52367018	52367117		0.36	0.28	0.35	0.19	0.35	0.18	0.36	0.28	37.16	100.87	22.0	19.48	19.52	12.23	40.42	0	0	0	0	13.53	0	0	23.69	37.83	38.22	22.76	11.42	16.12	14.91
chr7	52367118	52367217		0.06	0.32	0.1	0.06	0.07	0	0.3	0.17	10.8	60.47	25.13	6.3	8.24	37.39	33.62	0	0	0	0	18.45	0	0	1.85	26.05	16.29	8.76	8.43	3.69	12.16
chr7	52367218	52367317		0.12	0.04	0	0.06	0.07	0.12	0	0.03	4.2	70.38	15.96	6.93	40.22	40.71	44.89	0	0	0	0	0	0	0	18.67	25.85	18.81	0	18.66	14.04	2.94
chr7	52367318	52367417		0.24	0.24	0.15	0.5	0.35	0	0.3	0.27	19.15	81.55	16.2	11.34	61.56	6.0	33.95	0	57.75	0	0	45.92	0	64.38	57.35	54.52	44.05	41.82	38.79	43.38	16.25
chr7	52367418	52367517		0.36	0.28	0.3	0.13	0	1.2	0.5	0.23	1.44	38.29	55.12	21.31	44.33	21.06	52.19	0	0	0	24.38	35.26	0	70.18	51.11	44.2	30.96	51.56	88.39	48.61	45.29
chr7	52367518	52367617		0.66	0.2	0.15	0.12	0.14	0.48	0.44	0.19	0.37	72.63	44.33	35.97	95.98	46.34	53.47	0	49.49	0	51.93	41.0	0	39.44	56.53	155.42	81.7	22.26	73.36	31.98	78.75
chr7	52367618	52367717		0.18	0.36	0.25	0.69	0.14	0.18	0.18	0.31	36.63	59.83	17.47	43.76	88.54	59.5	75.73	0	64.99	116.54	32.06	51.66	0	41.76	83.88	135.17	41.82	60.56	67.57	35.75	58.28
chr7	52367718	52367817		0.36	0.44	0.2	0.7	0.21	0.6	0.19	0.32	0	54.55	30.58	27.75	20.88	39.45	66.86	0	0	68.53	36.34	82.41	36.96	0	64.22	48.31	24.31	54.06	32.95	17.64	26.7
chr7	52367818	52367917		0.47	0.2	0.05	0.49	0.35	0.54	0.5	0.27	0.48	58.57	47.59	62.38	59.09	23.5	47.2	0	0	58.24	0	54.94	24.64	23.2	56.64	27.21	27.16	47.06	40.43	26.07	43.22
chr7	52367918	52368017		0.71	0.64	0.3	0.06	0.35	0	0.38	0.35	113.88	9.6	42.15	44.81	44.34	48.53	53.73	0	0	115.95	0	27.88	43.68	19.72	30.89	55.53	27.86	37.62	35.99	10.85	92.32
chr7	52368018	52368117		0.41	0.32	0.3	0.18	0.56	0.06	0.24	0.29	63.23	16.43	40.82	52.58	24.96	57.38	71.61	31.35	0	22.4	23.15	45.51	19.04	0	14.49	44.12	33.87	43.27	67.71	18.82	100.03
chr7	52368118	52368217		0.35	0.32	0.25	0.44	0.35	0	0.25	0.29	146.73	26.05	35.19	21.2	50.94	37.69	42.14	93.88	0	0	49.19	0	0	15.66	51.91	62.75	36.03	29.19	57.65	14.31	88.04
chr7	52368218	52368317		0.65	0.32	0.14	0.5	0.14	0.12	0.56	0.3	85.94	53.88	65.48	18.73	19.92	10.1	19.54	0	0	0	0	0	0	27.26	27.38	9.05	19.4	29.21	9.06	15.47	28.3
chr7	52368318	52368417		0.41	0.2	0.05	0.12	0.07	0.06	0.25	0.13	43.28	29.92	19.07	16.73	29.6	21.55	55.8	23.8	0	0	0.46	1.23	0	0	6.56	1.2	8.35	12.36	6.5	4.86	25.17
chr7	52368418	52368517		0.24	0.68	0.15	0.5	0	0.36	0.12	0.3	10.43	23.23	32.63	34.9	44.0	48.47	62.12	102.58	0	0	69.98	30.75	0	0	29.63	28.99	56.86	20.16	25.39	30.71	65.2
chr7	52368518	52368617		0.78	0.16	0.25	0.89	0.35	0.66	0.63	0.39	84.91	31.38	55.69	38.87	72.75	37.39	59.87	0	0	0	32.66	0	22.96	0	43.5	80.57	63.6	39.44	51.45	30.56	61.22
chr7	52368618	52368717		0.71	0.16	0	0.19	0.7	0.6	0.67	0.28	29.64	28.29	41.31	22.33	63.81	29.2	42.57	0	0	0	5.06	9.43	18.48	0	28.47	41.92	54.23	78.18	40.54	35.57	61.31
chr7	52368718	52368817		0.77	0.4	0.19	0.19	0.35	0.48	0.25	0.26	0.9	37.61	27.62	38.73	88.83	58.6	52.97	0	0	0	0	54.53	0	0	13.21	65.24	29.13	16.98	86.89	36.34	33.71
chr7	52368818	52368917		0.77	0.48	0	0.24	0.14	0.24	0.12	0.2	20.08	81.34	11.46	22.0	30.42	30.05	22.95	0	0	25.6	0	0	0	0	24.18	45.3	30.02	12.96	43.06	24.48	10.53
chr7	52368918	52369017		0.47	0.6	0.1	0.25	0	0.6	0.18	0.24	42.76	16.79	37.84	41.19	18.32	18.49	41.52	0	0	21.76	0	0	0	43.5	57.35	59.0	20.44	23.24	39.56	33.59	43.3
chr7	52369018	52369117		0.6	0.6	0.1	0.12	0.21	0.24	0.06	0.23	3.78	38.39	65.35	40.39	35.04	39.31	31.86	0	3.85	0	0	54.94	14.0	0	43.81	52.94	54.33	61.35	23.84	33.0	57.25
